Family Office,Metro Area,AUM,LinkedIn,Website,Notes,City,Description,Connections,Action Items:,Discussed
Schneider Family Office,West Palm,"$100,000,000.00 ",,https://N/A,,West Palm Beach,"The Schneider Family office specializes in advising high net worth investors, family offices, foundations, endowments and private banks with investing in alternative asset space. The Schneider Family Office specializes with investments in Hedge Funds, Private Equity, and Real Estate products. In addition Schneider Family Office co-invests with other single family offices which enables them to participate in larger deals. The investments range from alternative energy, medical waste, hotels and resorts, medical and nutrition, global companies, and other industries that have growth potential. Finally, The Schneider Family Office makes charitable donations in the alternative medical industry and works with other foundations in helping them raise money for other charities.",,,
Esko,West Palm,"$100,000,000.00 ",,https://N/A,,Palm Beach,"Single family office located in West Palm overseen by Carlos Herrero, where he looks mostly on the alternatives side.",,,
Pierce Street Capital,Omaha,"$2,000,000,000.00 ",,https://piercestreet.com/,,Omaha,"Pierce Street Capital manages the investment activities of the Larsen family. Beginning with one facility in Omaha, Nebraska, Millard Refrigerated Services, Inc. became a pioneer in temperature-controlled warehousing and logistics. At the time of the company’s sale to Lineage Logistics, LLC in April 2014, Millard Refrigerated Services was the second largest cold-storage provider in North America with locations coast-to-coast and border-to-border. They have a broad mandate, our expertise and focus is in providing permanent capital to family and founder-led businesses in support of growth, asset diversification or estate planning objectives.",,,
SilverStone Group INC ( Part of Hub INTL),Omaha,"$957,452,558.00 ",,https://www.hubinternational.com/offices/us/nebraska/omaha-miracle-hills-drive/,,Omaha,SilverStone Group was acquired by Hub International Limited in Q1 2020.Both entities share expertise in wealth management. The partnership will create a new regional operation called Hub Great Plains where John Nelson will serve as President.,,,
Everest Group,Omaha,"$100,000,000.00 ",,http://www.everestusa.net/,,Omaha,We are actively seeking acquisitions and investment opportunities to build leading services companies through organic and acquisition-enhanced growth. We are currently investors in and are actively exploring additional opportunities in a variety of business services sectors. Everest's investment philosophy separates us from other firms. Our philosophy centers on leveraging the operational experience of our team. We have over 35 years of entrepreneurial and operational experience. We leverage that experience to enhance efficiency and performance and to pursue growth while continuing to enable a company's management team to lead the business on a day-to-day basis. Active support of our partners in developing and executing growth strategies is a key to our success.,,,
The Strand Partners,Ft. Lauderdale,"$1,000,000,000.00 ",,http://thestrandpartners.com/,,Boca Raton,"The Stand Partners is a private investment group founded by William C. Powers. We make selective direct and fund investments across asset classes, strategies and regions including real estate, private equity, venture capital, hospitality and natural resources and engage in strategic partnerships with best in class asset management firms and affiliates as part of our investment program. We currently have partnerships with: ASPEN HIGHLAND PARTNERS, ENCORE CAPITAL MANAGEMENT, SANDBRIDGE CAPITAL, KAIROS VENTURE PARTNERS, JRK HOLDINGS",,,
Blueprint Family Office,Ft. Lauderdale,"$500,000,000.00 ",,,,Ft. Lauderdale,A boutique family office with a focus on healthcare.,,,
Boutique CIO,Ft. Lauderdale,"$100,000,000.00 ",,https://www.boutiquecio.com/,,Miami,"Boutique CIO delivers custom investment solutions to advisors, family office, and money managers. Services are integrated across our key verticals and provide efficient and cost effective solutions to the wealth management industry.",,,
Woodbridge Investments Corporation,Toronto,"$54,000,000,000.00 ",,,,Mississauga,"Woodbridge Investments Corporation (The Woodbridge Company Limited) is a Canadian private holding company based in Toronto, Ontario. It is the primary investment vehicle for members of the family of the late Roy Thomson, the first Baron Thomson of Fleet. David Binet has been the president and chief executive officer of the company since 2012.",,,
Wittington Investments Ltd,Toronto,"$21,000,000,000.00 ",,https://n/a,,Troronto,"Wittington Investments, Limited, a private Canadian company, is the holding company of the Weston group of companies, which includes George Weston Limited, Loblaw Companies Limited and Choice Properties REIT. George Weston Limited is a Canadian public company, founded in 1882. George Weston has two operating segments: Loblaw Companies Limited, Canada’s largest food and drug retailer and a provider of financial services, and Choice Properties Real Estate Investment Trust, Canada’s largest and preeminent diversified REIT. With over 200,000 employees working at George Weston and its operating segments, the group of companies represent one of Canada’s largest private sector employers.",,,
Kilmer Group,Toronto,"$20,000,000,000.00 ",,https://www.kilmergroup.com/,,Toronto,"Kilmer Group is a multi-generational platform for business development and investment which is focused on Canadian enterprise and infrastructure and is built on a heritage of excellence in operations, growth oriented stewardship and trusting relationships. Based in Toronto, Kilmer Group includes Kilmer Van Nostrand Co. Limited, a family-owned and professionally managed holding company, Kilmer Capital Partners‎ ‎Limited, Kilmer Brownfield Management Limited, KD Infrastructure L.P. and Kilmer Sports Inc., and focuses its investments in three verticals: Private Equity, Infrastructure & Real Estate, and Sports & ‎Media. Our long history as owners and investors in Canada is reflected in the quality of our collective relationships and experiences which we bring to every opportunity for the benefit of our stakeholders.",,,
